state,t_mean,fs_real,V_mean,V_rms,V_var,V_vpp,V_skew,V_kurt,V_f_peak,V_THD,I_mean,I_rms,I_var,I_vpp,I_skew,I_kurt,I_f_peak,I_THD
0,256.142503332,16949.583679563177,4.967605941863127,4.967643420775757,0.00037236234282968966,0.101213092240787,0.16140977430478434,-1.0131117123061544,59.323542878471116,0.3522071214199277,0.0044871062271062264,0.006479430751622718,2.184890057173866e-05,0.022466422466422463,0.9155868382557171,0.17109145429894435,4889.954891553976,0.0
0,256.23635736,25564.948269027016,4.973663923094529,4.973701608657216,0.0003748720673205512,0.10514076447699683,0.03053197893764719,-0.9748717061206746,51.12989653805403,0.3880730377826024,0.004552258852258852,0.00664731859433086,2.3463783836567717e-05,0.025274725274725275,1.0075062784290376,0.4493385170256605,11120.752497026751,0.0
0,256.3145573765,25580.32400890515,4.973425090409704,4.97346386033781,0.0003856401694951926,0.09084000915541335,-0.014884077983260215,-1.0380089612764467,51.1606480178103,0.563627615556601,0.004303162393162393,0.0064294190003258474,2.282022209982393e-05,0.029206349206349205,1.0609961072695477,0.6596461696217131,3159.1700150997863,0.38072438008938203
0,256.3927716755,25578.360118728066,4.973580082398717,4.973615341730453,0.00035073146330311876,0.09476768139162228,-0.05590170524609339,-0.9330757440021409,51.156720237456135,0.42180506317744915,0.004408473748473748,0.00643436044941032,2.1966353601953598e-05,0.02808302808302808,0.9426860599665051,0.29681455630203235,8287.388678467894,0.0
0,256.4709749735,25564.948269027016,4.9730686793316545,4.9731015415399735,0.000326853117770556,0.11078049897001563,0.06021266190551272,-0.8271552459100384,51.12989653805403,0.46075549377795905,0.004542429792429792,0.0066175080009266245,2.3157743723174123e-05,0.02808302808302808,0.9970501460652288,0.5281038426967726,3898.6546110266195,0.5541351904123017
0,256.5491657455,25564.621326445686,4.971396951247425,4.971430242378459,0.0003310079629589004,0.09889677271686814,0.1271621909655281,-0.9753725600698173,51.12924265289137,0.22134304543946207,0.004232954822954822,0.006271223761609388,2.141034093499771e-05,0.025836385836385835,1.0813419922701695,0.7586553136737524,10110.807734609269,0.0
0,256.6274121965,25579.996672936475,4.974252520027466,4.974288845015316,0.00036138064421461716,0.11178759441519759,-0.05437452358560142,-0.9799758024281009,51.159993345872955,0.3661505331222178,0.004541868131868131,0.006640398116872572,2.346632102328549e-05,0.026959706959706956,0.9504560247168534,0.2137148132676261,6369.419171561183,0.2667650979011735
0,256.705627979,25562.332962501063,4.973604756237124,4.973642043036972,0.0003709010004330707,0.09134355687800344,-0.03355393108037387,-0.9971233165169173,51.12466592500213,0.5834205737491,0.004413247863247862,0.006474280077971923,2.2439545825562306e-05,0.022466422466422463,0.9911575567264301,0.35850544400939466,2236.704134218843,0.5837501920747614
0,256.783803628,25598.668203363406,4.972903012130923,4.97293801999282,0.0003481826293152247,0.10342870222018696,-0.012379165308620512,-0.9191056218211178,51.19733640672681,0.5236551415801295,0.004569951159951159,0.0066238690093426535,2.2991187048591074e-05,0.023589743589743587,0.9516288523603935,0.27676779911425653,6924.439749009802,0.0
0,256.8619852875,25569.526343398855,4.972738402380407,4.972773422935728,0.0003482973470809223,0.10836346990157875,0.10887226205853591,-0.8692285498221941,51.13905268679771,0.507154096164745,0.004396398046398046,0.006435426715879033,2.2086401233077055e-05,0.022466422466422463,0.9335775482160056,0.12975701745291923,6341.2425331629165,0.3366701792720147
0,256.94024109649996,25546.325878585936,4.972319249256122,4.972355250220954,0.00035801787691123945,0.09265278095673946,0.11305730913912641,-1.0361371120574647,51.09265175717187,0.4280724772503928,0.0043874114774114775,0.006415075878835768,2.1903819059098543e-05,0.02471306471306471,0.9169704356558706,0.10721226212455504,7204.063897761234,0.0
0,257.018449634,25579.01471529316,4.974020485236896,4.974054794673399,0.00034131285714479907,0.0992996108949411,-0.03860903502075226,-0.9891198809985724,51.158029430586325,0.2366086225970364,0.004358766788766788,0.0063735111259749224,2.162279615406978e-05,0.02471306471306471,0.9844723351511527,0.40091591909780666,5563.435700576263,0.2761796901666292
0,257.09666884399996,25579.996672936475,4.973111027695124,4.9731418589598135,0.00030665555541330283,0.10030670634012306,0.07093413903171773,-0.811465641129486,51.159993345872955,0.3307669196033383,0.0044997435897435895,0.0065812263246285,2.3064847562544628e-05,0.02808302808302808,1.0256926070476307,0.6176995393151405,5141.579331260232,0.20663192641870132
0,257.17489337399996,25549.917560297195,4.97218233463035,4.972217458706358,0.0003492878541969306,0.09748683909361411,0.10573435946963941,-1.0075512888603149,51.09983512059439,0.22641495831802388,0.004284908424908425,0.006433085600117294,2.302415012858529e-05,0.025274725274725275,1.0976386840787664,0.6171869654276385,8546.447423919411,0.0
0,257.25308416999997,25578.687412831892,4.973913179217212,4.973950360147239,0.00036987081817769276,0.10564431219958781,-0.026999179481773935,-1.0600416631490648,51.15737482566379,0.46642891413029275,0.004426166056166056,0.0065619046437624074,2.3467646597074064e-05,0.02976800976800977,1.1011002345774001,0.9111931023507949,5755.204667887176,0.31131253216637383
0,257.3313508665,25564.621326445686,4.9737080338750275,4.9737398000663084,0.0003159925306497541,0.10101167315175097,-0.04880949975027412,-0.8828136344677628,51.12924265289137,0.3152047408891806,0.0043551159951159945,0.006417571034570071,2.2218182652837594e-05,0.02415140415140415,0.9800003275257629,0.2984454478917704,7106.9647287519,0.0
0,257.40962235899997,25540.45075891882,4.972783772030212,4.972820532580599,0.00036560588816858395,0.09214923323414848,0.05121695580627564,-0.9565592215510561,51.08090151783764,0.5701379340497785,0.004408754578754579,0.006482290468575965,2.258297278330135e-05,0.0263980463980464,0.9435322762823162,0.16299845700784665,6627.746971939434,0.0
0,257.4878134595,25596.701495608428,4.972071000228885,4.97210713361974,0.00035931687524848115,0.10765850308995084,0.13245383404388722,-0.9684184147027208,51.19340299121686,0.4187219425160751,0.004438522588522588,0.006461330504979561,2.2048309125754176e-05,0.023589743589743587,1.0339389373082042,0.5823119598229423,5797.652888755309,0.19493385569842653
0,257.56600711349995,25568.872232392885,4.973190588235293,4.973228084692666,0.0003729554637713668,0.09950102998397803,0.018629796105726466,-0.9838347621592867,51.13774446478577,0.3388230387048815,0.004244749694749695,0.006364992140070682,2.2495224972083945e-05,0.02471306471306471,1.021261558768576,0.31729433873167157,5765.780688404596,0.47519334774808786
0,257.6442215105,25556.1237535198,4.97385829251545,4.973890881864275,0.0003241906678734285,0.09224994277866738,-0.06860560351999667,-0.9161075443470694,51.112247507039605,0.36798602325549873,0.004459023199023198,0.006544731468772815,2.2950622108918076e-05,0.02471306471306471,0.9888608653916866,0.3964085784293929,4178.4262337004875,0.4004636722613457
0,257.72241778949996,25595.718255032392,4.972723195239185,4.972759982953151,0.0003658715904182872,0.10886701762416973,0.08245506590090197,-0.8492855427636465,51.19143651006478,0.5667095335463992,0.00434051282051282,0.006412210784112633,2.22763955948542e-05,0.026959706959706956,1.0030192922810792,0.35619499492182527,4632.825004160863,0.17011393877407957
